Species,abbrev,lm_id,martini3,concentration
PC 40:1,PC 40:1,"['LMGP01011094', 'LMGP01010811', 'LMGP01010909', 'LMGP01012015', 'LMGP01011091', 'LMGP01011020', 'LMGP01011093', 'LMGP01011090', 'LMGP01010845', 'LMGP01010659', 'LMGP01011593', 'LMGP01011092', 'LMGP01010839', 'LMGP01011781', 'LMGP01011018', 'LMGP01011017', 'LMGP01011019', 'LMGP01011969', 'LMGP01011089', 'LMGP01011824']",['NA'],0.0
PC 40:2,PC 40:2,['LMGP01011038'],['DGPC'],0.089352165767862
PC 40:3,PC 40:3,"['LMGP01012172', 'LMGP01012047', 'LMGP01011989', 'LMGP01011637', 'LMGP01011885', 'LMGP01011990', 'LMGP01012202', 'LMGP01011855', 'LMGP01012159', 'LMGP01012230', 'LMGP01011799', 'LMGP01011022', 'LMGP01012017', 'LMGP01011695', 'LMGP01010812', 'LMGP01012185', 'LMGP01011612', 'LMGP01011666', 'LMGP01012222', 'LMGP01011825']",['NA'],0.0176924628625818
PC 40:4,PC 40:4,"['LMGP01011826', 'LMGP01012176', 'LMGP01012224', 'LMGP01012019', 'LMGP01012187', 'LMGP01011667', 'LMGP01012048', 'LMGP01011726', 'LMGP01011915', 'LMGP01011886', 'LMGP01011045', 'LMGP01011991', 'LMGP01011023', 'LMGP01011856', 'LMGP01012186', 'LMGP01012018', 'LMGP01012223', 'LMGP01012077', 'LMGP01012203', 'LMGP01012213', 'LMGP01012180', 'LMGP01011638', 'LMGP01011696', 'LMGP01010813']",['NA'],0.0041419762480341
PC 40:5,PC 40:5,"['LMGP01012050', 'LMGP01012078', 'LMGP01012191', 'LMGP01012225', 'LMGP01011668', 'LMGP01012231', 'LMGP01011697', 'LMGP01011800', 'LMGP01010816', 'LMGP01011916', 'LMGP01012160', 'LMGP01011857', 'LMGP01012188', 'LMGP01011827', 'LMGP01010818', 'LMGP01012214', 'LMGP01011944', 'LMGP01011887', 'LMGP01012020', 'LMGP01012204', 'LMGP01011613', 'LMGP01012183', 'LMGP01011727', 'LMGP01012049']",['NA'],0.0880705349483219
PC 40:6,PC 40:6,"['LMGP01010823', 'LMGP01012107', 'LMGP01011728', 'LMGP01011639', 'LMGP01011945', 'LMGP01012051', 'LMGP01010846', 'LMGP01011888', 'LMGP01011828', 'LMGP01011858', 'LMGP01010821', 'LMGP01012079', 'LMGP01011917']",['NA'],0.100234978524943
PC 40:7,PC 40:7,"['LMGP01011669', 'LMGP01012081', 'LMGP01011698', 'LMGP01010913', 'LMGP01012080', 'LMGP01010847', 'LMGP01011946', 'LMGP01010946', 'LMGP01011889', 'LMGP01011859', 'LMGP01012108', 'LMGP01011918']",['NA'],0.124281823776327
PC 40:8,PC 40:8,['LMGP01011052'],['DAPC'],0.0282498574760517
PC 42:1,PC 42:1,"['LMGP01011040', 'LMGP01011026', 'LMGP01010826', 'LMGP01012236', 'LMGP01011041', 'LMGP01011097', 'LMGP01011802', 'LMGP01012023', 'LMGP01011152', 'LMGP01011830', 'LMGP01012226', 'LMGP01012240', 'LMGP01010915', 'LMGP01012161', 'LMGP01011151']",['NA'],0.0024201937537643
PC 42:2,PC 42:2,"['LMGP01012227', 'LMGP01012189']",['DGPC'],0.0718012359994682
PC 42:3,PC 42:3,"['LMGP01011996', 'LMGP01011862', 'LMGP01011892', 'LMGP01011832', 'LMGP01012055', 'LMGP01012025']",['NA'],0.0041547643958259
PC 42:6,PC 42:6,"['LMGP01012058', 'LMGP01011864', 'LMGP01011923', 'LMGP01011028', 'LMGP01012115', 'LMGP01012028', 'LMGP01011952', 'LMGP01012087']",['NA'],0.0
PC 42:7,PC 42:7,"['LMGP01011953', 'LMGP01012088', 'LMGP01012059', 'LMGP01012116', 'LMGP01011895', 'LMGP01011834']",['NA'],0.0037134633047853
PC 42:9,PC 42:9,"['LMGP01012090', 'LMGP01011896', 'LMGP01012118', 'LMGP01011954']",['NA'],0.0409333620558833
PC 44:1,PC 44:1,"['LMGP01012000', 'LMGP01011155', 'LMGP01011032', 'LMGP01011102', 'LMGP01012030']",['NA'],0.0
PC 44:2,PC 44:2,['LMGP01011110'],['DGPC'],0.0417328236934376
